experiment,variant,metric,value
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.24795541
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.30477789
ablation,S4_eta0.20_softmax_additive,recall_mse,0.33774039
ablation,S4_eta0.20_softmax_gated,recall_mse,0.30942792
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.30943719
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.28867856
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.36982945
ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.27432054
ablation,S4_eta0.50_softmax_additive,recall_mse,0.29570028
ablation,S4_eta0.50_softmax_gated,recall_mse,0.30356535
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.27920726
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.25049490
ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.39647591
ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.32852188
ablation,S8_eta0.05_softmax_additive,recall_mse,0.30850491
ablation,S8_eta0.05_softmax_gated,recall_mse,0.30126658
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.29470557
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.30459258
ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.26305091
ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.26790345
ablation,S8_eta0.20_softmax_additive,recall_mse,0.30378824
ablation,S8_eta0.20_softmax_gated,recall_mse,0.32124111
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.27361310
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.34534630
ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.36391053
ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.24688028
ablation,S8_eta0.50_softmax_additive,recall_mse,0.34980023
ablation,S8_eta0.50_softmax_gated,recall_mse,0.30652699
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.27002299
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.28506508
ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.32004091
ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.32921425
ablation,S16_eta0.05_softmax_additive,recall_mse,0.37975705
ablation,S16_eta0.05_softmax_gated,recall_mse,0.29027566
ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.34053740
ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.34114462
ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.26029471
ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.31165665
ablation,S16_eta0.20_softmax_additive,recall_mse,0.33459565
ablation,S16_eta0.20_softmax_gated,recall_mse,0.28693876
ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.27923930
ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.33315480
ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.30580547
ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.28257802
ablation,S16_eta0.50_softmax_additive,recall_mse,0.32895079
ablation,S16_eta0.50_softmax_gated,recall_mse,0.30397192
ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.29698658
ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.31622142
efficiency,baseline,forward_ms,0.55403812
efficiency,alc,forward_ms,0.88336432
efficiency,alc,slowdown_ratio,1.59441072
efficiency,alc,extra_params,992.00000000
